File,Type,Size(Bytes),LastModified,Source
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fa/st/fastrace-opentelemetry,data,16050,2025-12-15 12:55:09.392000443 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fa/st/fastant,data,4812,2025-12-15 12:55:37.932000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fa/st/fastrace-macro,data,18640,2025-12-15 12:55:37.932000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fa/st/fastdivide,data,1348,2025-12-15 12:55:38.308000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fl/at/flate2,data,91918,2025-11-25 01:29:17.299673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fl/at/flatbuffers,data,16804,2025-12-15 12:55:09.396000443 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fl/um/flume,data,50839,2025-12-15 12:57:56.356000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fl/oa/float-cmp,data,6106,2025-12-15 13:18:55.040000528 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fs/-e/fs-err,data,10000,2025-11-25 01:29:17.299673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/fs/_e/fs_extra,data,1441,2025-12-15 13:11:54.976000503 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/gl/ob/glob,data,6302,2025-11-25 01:29:17.299673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/gl/ob/globset,data,29761,2025-11-26 18:52:38.735759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/gl/oo/gloo-timers,data,10086,2025-12-15 12:57:56.064000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/go/bl/goblin,data,52035,2025-11-25 01:29:17.299673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ig/no/ignore,data,57246,2025-11-25 01:29:17.303673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/de/indexmap,data,85157,2025-11-25 01:29:17.307673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/do/indoc,data,27323,2025-11-26 18:52:38.631759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/st/insta,data,220762,2025-11-26 18:52:38.639759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/st/instability,data,8649,2025-12-15 12:57:56.048000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/st/instant,data,30675,2025-12-15 12:57:56.480000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/di/indicatif,data,82446,2025-11-26 18:52:38.679759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/he/inherent,data,16161,2025-12-15 12:55:38.292000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/li/inlinable_string,data,6580,2025-12-15 12:57:56.412000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/te/integer-encoding,data,24340,2025-12-15 12:58:21.900000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/fe/inferno,data,171156,2025-12-15 12:58:21.916000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/in/ou/inout,data,8228,2025-12-15 12:58:29.860000455 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/it/er/itertools,data,55811,2025-11-25 01:29:17.307673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/it/er/iter-read,data,1420,2025-12-15 12:57:56.172000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/it/oa/itoa,data,7271,2025-11-26 18:52:39.423759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ke/yr/keyring,data,152895,2025-11-25 01:29:17.315673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ke/cc/keccak,data,2615,2025-12-15 12:58:21.920000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ld/dt/lddtree,data,12676,2025-11-25 01:29:17.315673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/mi/ni/minijinja,data,217111,2025-11-25 01:29:17.327673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/mi/ni/miniz_oxide,data,33349,2025-11-26 18:52:38.731759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/mi/ni/minimal-lexical,data,4885,2025-11-26 18:52:41.199759567 -0500,proot_home
